Name,Name (plain),rank,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,Cu redox,localities,Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",Year,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,structure,structure type,   a   ,   b   ,   c   ,   α   ,   β   ,   γ   ,   volume   ,   crystal system   ,   point group   ,   space group   ,multiplicity,   lattice   ,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID
Abswurmbachite,Abswurmbachite,2635,Cu^2+^Mn^3+^_6_O_8_(SiO_4_),,Cu Mn O Si,4,2,4,781,"34,72",1,0,1,0,1,Abswurmbachite,80,2.822,225.754,0.446,1991,71823,1990,1,0.005,black,1,6.5,1,Braunite,9.406,9.406,18.546,90,90,90,1640.817,tetragonal,4/m2/m2/m,I41/acd,,I,,,0,8,,,,
Agaite,Agaite,3928,Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_),,Pb Cu Te O H C,6,2,1,6058,72,0,0,1,0,1,Agaite,64,4,256,0.667,,,2011,1,0.02,blue,3,2.5,1,,10.6361,9.1395,9.57805,90,90,90,931.063,orthorhombic,2mm,Pca21,,P,946,87939,1,6,"Aga Mine, Otto Mountain, Baker, San Bernardino Co., California, USA","35.272222222222,-116.095",GSAB101_1574,
Agardite-(Ce),Agardite-(Ce),1033,Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,2,Cu Ce As O H,5,2,31,799,72,0,0,1,0,1,Agardite-(Ce),68,3.02,205.34,0.496,1983,31255,2003,1,0.5,green,2,3.5,1,Mixite,13.5975,13.5975,5.9035,90,90,120,945.291,hexagonal,6/m,P63/m,12,P,615,108201,12,78,"Taghouni Mine (Tarouni Mine), Taghouni, Bou Azer District (Bou Azzer District), Tazenakht, Ouarzazate Province, Souss-Massa-Draâ Region, Morocco","30.527222222222,-6.9305555555556",EG77_162,
Agardite-(La),Agardite-(La),1147,Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,2,Cu La As O H,5,2,24,801,72,0,0,1,0,1,,,,,,,,1980,1,0.5,green,2,3.5,0,Mixite,13.7,13.7,5.88,90,90,120,955.761,hexagonal,6/m,P63/m,12,P,391,1421,10,56,"Brandy Gill Mine, Carrock Fell, Caldbeck Fells, Cumbria, England, UK","54.694444444444,-3.0519444444444",,
Agardite-(Nd),Agardite-(Nd),1454,Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,2,Cu Nd As O H,5,2,13,802,72,0,0,1,0,1,,,,,,,,2010,1,0.5,green,2,3.5,0,Mixite,13.548,13.548,5.894,90,90,120,937,hexagonal,6/m,P63/m,12,P,253,1928,6,39,"Johann Mine, Burgfelsen, Wittichen, Schenkenzell, Black Forest, Baden-Württemberg, Germany","48.3325,8.3538888888889",MD35_190,
Agardite-(Y),Agardite-(Y),581,Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,2,Cu Y As O H,5,2,81,803,72,0,0,1,0,1,Agardite-(Y) (Ca-rich),68,3.02,205.34,0.496,1985,36476,1968,2,0.5,green,2,3.5,1,Mixite,13.52631667,13.52631667,5.898233333,90,90,120,934.5225,hexagonal,6/m,P63/m,12,P,1855,73,21,147,"Block 14 Opencut, Broken Hill, Yancowinna Co., New South Wales, Australia","-31.959166666667,141.475",EG100_633,
Aikinite,Aikinite,273,CuPbBiS_3_,4,Cu Pb Bi S,4,,256,809,51,0,1,0,1,0,Aikinite,24,2.585,62.039,0.564,1976,616595,1843,3,1,black,1,2.5,1,Meneghinite,11.63233333,4.036833333,11.309,90,90,90,531.0506667,orthorhombic,2/m2/m2/m,Pnma,8,P,2710,265431,86,450,"Bellerophon-Nelson Gold Mine, St. Ives Gold Camp, Kambalda, Coolgardie Shire, Western Australia, Australia","-31.312222222222,121.76444444444",EG105_1057,
Ajoite,Ajoite,1599,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,3,K Cu Al Si O H,6,2,12,810,72,0,0,1,0,1,Ajoite,149,6.226,927.656,0.862,2002,96726,1958,2,0.04,blue,2,,1,Ajoite,13.63285,13.6765,14.5145,110.80085,107.20565,105.613,2194.2245,triclinic,1,P1,2,P,372,16063,4,33,"Ramsbeck, Meschede, Sauerland, North Rhine-Westphalia, Germany","51.315833333333,8.4113888888889",CMP106_440,
Aktashite,Aktashite,1499,Cu_6_Hg_3_As_4_S_12_,3,Cu Hg As S,4,,13,819,51,0,1,0,1,0,Aktashite,25,3.122,78.057,0.672,2009,169803,1968,2,0.02,black,1,3.5,1,Nowackiite,13.73666667,13.73666667,9.339333333,90,90,120,1526.196,hexagonal,3,R3,9,R,2638,27164,14,63,"David Bell Mine, Hemlo Gold Deposit, Bomby Township, Thunder Bay District, Ontario, Canada","48.6925,-85.892777777778",,
Aldridgeite,Aldridgeite,3941,"(Cd^2+^,Ca)(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O",,Cd Ca Cu Zn S O H,7,2,1,5856,72,0,0,1,0,1,Aldridgeite,,,,,,,2010,1,0.08,blue,2,3,0,Devilline,22.049,6.212,21.839,90,113.19,90,2749.8,monoclinic,2/m,C2/c,,C,1855,73,1,5,"Block 14 Opencut, Broken Hill, Yancowinna Co., New South Wales, Australia","-31.959166666667,141.475",EG100_633,
