#,Name,Mineral Name (plain),rank,IMA Formula,IMA Validity,Chemistry,Z (chemical formula units in the unit cell),Chemistry Elements,Elements,U redox,localities,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,Mineral name,v,IG,"IG,total","IG,n",H atoms,A. Min. cif,ICSD code,discovery,discovery method,max size (cm),color,luster,hard,avg hard,topology,anion topology,structure,pdf of Journal,Xstal data from mindat,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,multiplicity,lattice,delta-Gf,delta-Hf,delta-Sf,Max Age (Ma),MinDat Locality ID,Unique Ages,Unique Ages (including parents),Locality,Location,Ref,Excel ID,Ruff locality link,Mindat locality link
1,Abernathyite,Abernathyite,,K(UO2)(AsO4)·3H2O,G,K(U^6+^O_2_)(As^5+^O_4_)·3H_2_O,4,K U O As H,5,6,17,17,779,72,0,0,1,0,1,,48,2.252,108.078,0.403,0,1,15481,,,0.05,yellow,2,2.0-3,2.5,sheet,,,Y,N,Natroautunite,7.176,7.176,18.126,90,90,90,933.4,tetragonal,4/m2/m2/m,P4/ncc,,P,,,,252,4634,6,34,"Fuchs Quarry, Hartkoppe, Sailauf, Hösbach, Spessart, Franconia, Bavaria, Germany","50.033611111111,9.2730555555556",BMSD_290,Kristen002436,http://rruff.info/mineral_list/locality.php?mineral_name=Abernathyite,https://www.mindat.org/min-3.html
2,Adolfpateraite,Adolfpateraite,,K(UO2)(SO4)(OH)(H2O),A,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O),4,K U S O H,5,6,1,1,5970,72,0,0,1,0,1,,56,3.807,213.212,0.656,1,1,,,,0.3,greenish-yellow,2,2,2,chain,,,Y,N,Adranosite,8.0462,7.9256,11.3206,90,107.726,90,687.65,monoclinic,2/m,P21/c,,P,,,,0,188817,1,8,"Geschieber Vein, Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.3725,12.911666666667",AM102_595,Anthropocene-008,http://rruff.info/mineral_list/locality.php?mineral_name=Adolfpateraite,https://www.mindat.org/min-42458.html
3,Agricolaite,Agricolaite,,K4(UO2)(CO3)3,A,K_4_(U^6+^O_2_)(C^4+^O_3_)_3,4,K U C O,4,6,2,2,5810,72,0,0,1,0,1,,38,3.406,129.421,0.649,0,1,,,,0.03,yellow,2,4,4,cluster,,,Y,N,,10.238,9.193,12.211,90,95.108,90,1144.71,monoclinic,2/m,C2/c,,C,,,,270,226905,2,8,"Giftkies Adit, Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.375277777778,12.8925",IAEA-TECDOC_1258,Kristen002438,http://rruff.info/mineral_list/locality.php?mineral_name=Agricolaite,https://www.mindat.org/min-39868.html
4,Agrinierite,Agrinierite,,K2Ca[(UO2)3O3(OH)2]2·5H2O,A,K_2_Ca^2+^[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O,8,K Ca Sr U O H,6,6,1,1,805,72,0,0,1,0,1,,72,4.587,330.235,0.743,0,1,89723,,,,orange,,,,sheet,,,Y,N,Compreignacite,14.094,14.127,24.106,90,90,90,4799.6,orthorhombic,mm2,F2mm,,F,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Agrinierite,https://www.mindat.org/min-58.html
5,Albrechtschraufite,Albrechtschraufite,,MgCa4F2[UO2(CO3)3]2·17-18H2O,A,Mg^2+^Ca^2+^_4_F_2_[U^6+^O_2_(C^4+^O_3_)_3_]_2_·17-18H_2_O,2,Mg Ca F U O C H,7,6,1,1,825,72,0,0,1,0,1,,161,6.337,1020.28,0.864,1,1,,,,0.02,yellow-green,2,,,framework,,,Y,N,,13.569,13.419,11.622,115.82,107.61,92.84,1774.6,triclinic,-1,P-1,,P,,,,0,777,1,6,"Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.372222222222,12.894166666667",AM102_595,Anthropocene-009,http://rruff.info/mineral_list/locality.php?mineral_name=Albrechtschraufite,https://www.mindat.org/min-97.html
6,Althupite,Althupite,,AlTh(UO2)7(PO4)4O2(OH)5·15H2O,A,Al^3+^Th^4+^(U^6+^O_2_)_7_(P^5+^O_4_)_4_O_2_(OH)_5_·15H_2_O,2,Th Al U O P H,6,6,1,1,845,72,0,0,1,0,1,,130,6.038,784.908,0.86,0,1,202166,,,0.01,yellow,,,,sheet,,,N,N,,10.953,18.567,13.504,71.64,68.2,84.21,2434,triclinic,-1,P-1,,P,,,,975.3,4313,1,4,"Kobokobo pegmatite, Mwenga, Sud-Kivu, Democratic Republic of Congo (Zaïre)","-3.0833333333333,27.133333333333",OGR64_667,Alexandra-0228,http://rruff.info/mineral_list/locality.php?mineral_name=Althupite,https://www.mindat.org/min-149.html
7,Alwilkinsite-(Y),Alwilkinsite-(Y),,Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O,A,Y^3+^(U^6+^O_2_)_3_(S^6+^O_4_)_2_O_(OH)_3_(H_2_O_)_7_·7H_2_O,4,Y U S O H,5,6,1,2,6495,"72,76",0,0,1,0,1,,,,,,,1,,,,0.05,yellow-green,2,2-2.5,2.25,chain,,,Y,N,,11.6194,12.425,19.4495,90,90,90,2807.9,orthorhombic,222,P212121,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-010,http://rruff.info/mineral_list/locality.php?mineral_name=Alwilkinsite-(Y),https://www.mindat.org/min-47025.html
8,Andersonite,Andersonite,,Na2Ca(UO2)(CO3)3·6H2O,G,Na_2_Ca^2+^(U^6+^O_2_)(C^4+^O_3_)_3_·6H_2_O,18,Na Ca U C O H,6,6,44,44,883,"72,89",0,0,1,0,1,,138,4.002,552.252,0.563,0,1,15533,,,1,yellow-green,,,,cluster,,,Y,N,,17.902,17.902,23.734,90,90,120,6587.258,rhombahedral,-32/m,R-3M,,R,,,,1900,12005,9,39,"Stripa Ore Field, Lindesberg, Västmanland, Sweden","34.63278,-113.20972",MD29_150,MD29_150_Berglagen,http://rruff.info/mineral_list/locality.php?mineral_name=Andersonite,https://www.mindat.org/min-219.html
9,Arapovite,Arapovite,,"(K1-x☐x)(Ca,Na)2U4+Si8O20 [x ≈ 0.5]",A,"(K_1-x_[box]_x_)(Ca,Na)_2_U^4+^Si^4+^_8_O_20_ (x~0.5)",2,U Ca Na K Si O,6,4,1,1,5186,72,0,0,1,1,0,,64,2.438,156,0.406,0,1,,,,0.03,dark-green,2,5.5-6,5.75,sheet,,,Y,N,Steacyite,7.5505,7.5505,14.7104,90,90,90,838.6,tetragonal,4/m2/m2/m,P4/mcc,,P,,,,359,3241,1,5,"Darai-Pioz Glacier (Dara-i-Pioz; Dara-Pioz), Alai Range (Alayskiy), Tien Shan Mtn, Region Of Republican Subordination, Tajikistan","39.466666666667,70.7",USGSOFR02_189,ree-00615,http://rruff.info/mineral_list/locality.php?mineral_name=Arapovite,https://www.mindat.org/min-27530.html
10,Arsenovanmeersscheite,Arsenovanmeersscheite,,U(UO2)3(AsO4)2(OH)6·4H2O,A,U^6+^(U^6+^O_2_)_3_(As^5+^O_4_)_2_(OH)_6_·4H_2_O,,U As O H,4,6,1,1,5573,72,0,0,1,0,1,,,,,,,0,,,,0.01,yellow,,,,,,,N,Y,,17.36,16.96,7.02,90,90,90,2066.87,orthorhombic,mm2,Pmn21,,P,,,,313,1777,1,5,"Krunkelbach Valley Uranium deposit, Menzenschwand, Black Forest, Baden-Württemberg, Germany","47.838888888889,8.0488888888889",EJM21_817,Pfaff2009tbl06-01,http://rruff.info/mineral_list/locality.php?mineral_name=Arsenovanmeersscheite,https://www.mindat.org/min-29255.html
