Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Country,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Reference (Max Age),Reference (Min Age),Excel ID (Max Age),Excel ID (Min Age),Query Minerals,# of Query Minerals at Locality
675,483,4328,"Shinkolobwe Mine (Kasolo Mine), Shinkolobwe, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",Democratic Republic Of Congo (Zaïre),,4332,"Luiswishi Mine, Lubumbashi (Elizabethville), Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",OGR40_81,OGR40_81,Kristen002307,Kristen002312,"Becquerelite, Bijvoetite-(Y), Billietite, Chernikovite, Cuprosklodowskite, Curienite, Curite, Dewindtite, Dumontite, Fourmarierite, Gauthierite, Guilleminite, Ianthinite, Kasolite, Lepersonnite-(Gd), Liebigite, Masuyite, Metasaléeite, Metaschoepite, Metastudtite, Metatorbernite, Metavandendriesscheite, Oursinite, Paraschoepite, Parsonsite, Phosphuranylite, Phurcalite, Piretite, Protasite, Renardite, Richetite, Roubaultite, Rutherfordine, Saléeite, Sayrite, Schmitterite, Schoepite, Sengierite, Sharpite, Shinkolobweite, Sklodowskite, Soddyite, Studtite, Torbernite, Urancalcarite, Uranocircite-II, Uranophane-α, Uranopilite, Vandenbrandeite, Vandendriesscheite, Vanmeersscheite, Wölsendorfite, Wyartite, Zippeite",54
313,0.26,1777,"Krunkelbach Valley Uranium Deposit, Menzenschwand, Black Forest, Baden-Württemberg, Germany",Germany,Continental Extension,34396,"Menzenschwand, Black Forest, Baden-Württemberg, Germany",EJM21_817,EJM21_817,Pfaff2009tbl06-01,Pfaff2009tbl06-33,"Arsenovanmeersscheite, Arsenuranospathite, Arsenuranylite, Autunite, Bassetite, Bergenite, Billietite, Coffinite, Compreignacite, Cuprosklodowskite, Curite, Dewindtite, Heinrichite, Heisenbergite, Ianthinite, Johannite, Joliotite, Kasolite, Meta-autunite, Metaheinrichite, Metakahlerite, Metatorbernite, Metazeunerite, Nielsbohrite, Nováčekite-I, Phosphuranylite, Rutherfordine, Saléeite, Schoepite, Soddyite, Studtite, Torbernite, Uraninite, Uranocircite-II, Uranophane-α, Uranopilite, Uranosilite, Uranospathite, Uranotungstite, Vandendriesscheite, Vanmeersscheite, Vyacheslavite, Wölsendorfite, Weeksite, Zeunerite, Zippeite",46
,,23617,"La Creusa U Prospect (La Creusaz U Prospect), Les Marécottes, Le Trient Valley, Wallis (Valais), Switzerland",Switzerland,,,,,,,,"Arsenuranospathite, Bassetite, Becquerelite, Billietite, Coconinoite, Coffinite, Compreignacite, Dewindtite, Fourmarierite, Françoisite-(Ce), Françoisite-(Nd), Johannite, Kasolite, Marthozite, Masuyite, Meta-autunite, Metakahlerite, Metanováčekite, Metatorbernite, Metatyuyamunite, Metazeunerite, Natrozippeite, Nováčekite-I, Phosphuranylite, Rabejacite, Rutherfordine, Schoepite, Schröckingerite, Sklodowskite, Studtite, Tyuyamunite, Uraninite, Uranophane-α, Uranopilite, Uranospathite, Uranospinite, Vandendriesscheite, Vochtenite, Wölsendorfite, Walpurgite, Yingjiangite, Zeunerite, Zippeite",43
179,103,1715,"Rabejac, Lodève, Hérault, Occitanie, France",France,,1715,"Rabejac, Lodève, Hérault, Occitanie, France",MD19_44,MD19_44,Mo-00012,Mo-00012,"Arsenuranospathite, Becquerelite, Billietite, Coffinite, Cuprosklodowskite, Fontanite, Heinrichite, Ianthinite, Kahlerite, Liebigite, Masuyite, Meta-autunite, Metaheinrichite, Metalodèvite, Metauranopilite, Metazeunerite, Natrouranospinite, Nováčekite-I, Rabejacite, Rutherfordine, Saléeite, Schoepite, Seelite, Sengierite, Sklodowskite, Studtite, Torbernite, Trögerite, Tyuyamunite, Urancalcarite, Uraninite, Uranophane-α, Uranopilite, Vandenbrandeite, Vandendriesscheite, Zeunerite, Zippeite",37
270,130,777,"Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Krušné Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",Czech Republic,,18657,"Slavkovice, Nové Město Na Moravě, Vysočina Region, Moravia (Mähren; Maehren), Czech Republic",IAEA-TECDOC_1258,IAEA-TECDOC_1258,Kristen002438,Kristen002440,"Arsenuranospathite, Boltwoodite, Coffinite, Curienite, Dewindtite, Heisenbergite, Kahlerite, Kamotoite-(Y), Masuyite, Metalodèvite, Metanováčekite, Metatyuyamunite, Metauranopilite, Metauranospinite, Ningyoite, Nováčekite-I, Phosphowalpurgite, Phosphuranylite, Richetite, Soddyite, Trögerite, Urancalcarite, Uranocircite-II, Uranophane-α, Uranosphaerite, Uranospinite, Vandendriesscheite, Vochtenite, Wölsendorfite, Weeksite, Widenmannite, Yingjiangite",32
387,110,1782,"Clara Mine, Rankach Valley, Oberwolfach, Wolfach, Black Forest, Baden-Württemberg, Germany",Germany,,1782,"Clara Mine, Rankach Valley, Oberwolfach, Wolfach, Black Forest, Baden-Württemberg, Germany",EJM21_817,EJM21_817,EJM21_817tbl02-00027,EJM21_817tbl02-00001,"Bassetite, Becquerelite, Billietite, Carnotite, Francevillite, Ianthinite, Kasolite, Meta-autunite, Metaheinrichite, Metanováčekite, Metatorbernite, Metatyuyamunite, Metazeunerite, Nováčekite-II, Protasite, Schoepite, Seelite, Sengierite, Sklodowskite, Studtite, Torbernite, Tyuyamunite, Uraninite, Uranophane-α, Uranosphaerite, Uranotungstite, Vyacheslavite, Walpurgite, Zeunerite, Zippeite",30
,,4377,"Pick's Mine (Pick's Delta Mine; Delta Mine; Delta Uranium Mine; Hidden Splendor), Delta, San Rafael District (San Rafael Swell), Emery Co., Utah, USA",USA,,,,,,,,"Andersonite, Autunite, Bayleyite, Becquerelite, Billietite, Boltwoodite, Carnotite, Compreignacite, Fourmarierite, Johannite, Meta-autunite, Metatorbernite, Metatyuyamunite, Metazeunerite, Natrozippeite, Phosphuranylite, Rutherfordine, Schoepite, Schröckingerite, Strelkinite, Torbernite, Tyuyamunite, Uraninite, Uranophane-α, Uranopilite, Vandendriesscheite, Yingjiangite, Zeunerite, Zippeite",29
,,16022,"Tirpersdorf, Oelsnitz, Vogtland, Saxony, Germany",Germany,,,,,,,,"Asselbornite, Bassetite, Becquerelite, Bergenite, Carnotite, Coffinite, Curite, Dewindtite, Dumontite, Fourmarierite, Francevillite, Hügelite, Iriginite, Kasolite, Meta-ankoleite, Metaheinrichite, Parsonsite, Sklodowskite, Soddyite, Torbernite, Uraninite, Uranocircite-II, Uranophane-α, Vandendriesscheite, Wölsendorfite, Walpurgite, Yingjiangite, Zeunerite",28
232,15,5560,"Zálesí (Zalesie), Javorník (Jauernig), Olomouc Region, Moravia (Mähren; Maehren), Czech Republic",Czech Republic,,5560,"Zálesí (Zalesie), Javorník (Jauernig), Olomouc Region, Moravia (Mähren; Maehren), Czech Republic",MD44_81,MD44_81,Emily000534,Emily000535,"Autunite, Becquerelite, Cuprosklodowskite, Demesmaekerite, Derriksite, Fourmarierite, Kasolite, Liebigite, Meta-autunite, Metanováčekite, Metatorbernite, Metatyuyamunite, Metauranospinite, Metazeunerite, Nováčekite-I, Parsonsite, Piretite, Schröckingerite, Torbernite, Trögerite, Tyuyamunite, Uranophane-α, Uranopilite, Uranospinite, Vandendriesscheite, Wölsendorfite, Zeunerite",27
,,29929,"Rio Giulis Uranium Prospect, Condino, Chiese Valley, Giudicarie Valleys, Trento Province, Trentino-Alto Adige (Trentino-Südtirol), Italy",Italy,,,,,,,,"Autunite, Becquerelite, Billietite, Cuprosklodowskite, Curienite, Dewindtite, Françoisite-(Nd), Hügelite, Ianthinite, Johannite, Kasolite, Masuyite, Metavanmeersscheite, Metazeunerite, Rabejacite, Sabugalite, Samarskite-(Y), Schoepite, Torbernite, Uraninite, Uranophane-α, Uranopilite, Vanmeersscheite, Zeunerite",24
179,103,1714,"Mas D'Alary (Mas D'Alary MCO), Lodève, Hérault, Occitanie, France",France,,1715,"Rabejac, Lodève, Hérault, Occitanie, France",MD19_44,MD19_44,Mo-00012,Mo-00012,"Autunite, Bayleyite, Deliensite, Dewindtite, Ianthinite, Johannite, Kahlerite, Leydetite, Masuyite, Metalodèvite, Metanováčekite, Metatorbernite, Natrouranospinite, Nováčekite-I, Rabejacite, Saléeite, Schoepite, Soddyite, Uranopilite, Zellerite, Zeunerite, Zippeite, Znucalite",23
354,248,13488,"Bühlskopf U Deposit, Ellweiler, Birkenfeld, Hunsrück, Rhineland-Palatinate, Germany",Germany,,14243,"Rhineland-Palatinate, Germany",,,Hg-00059,Hg-00059,"Arsenuranospathite, Arsenuranylite, Becquerelite, Boltwoodite, Coffinite, Curite, Dewindtite, Hügelite, Hallimondite, Kasolite, Metaheinrichite, Metakahlerite, Metazeunerite, Natrouranospinite, Nováčekite-I, Rutherfordine, Schoepite, Sharpite, Sklodowskite, Uraninite, Uranopilite, Uranospinite, Zeunerite",23
,,53316,"Eureka Mine, Castell-estaó, La Torre De Cabdella (La Torre De Capdella), La Vall Fosca, El Pallars Jussà, Lleida (Lérida), Catalonia, Spain",Spain,,,,,,,,"Čejkaite, Andersonite, Arsenuranylite, Autunite, Bayleyite, Billietite, Boltwoodite, Carnotite, Coffinite, Compreignacite, Cuprosklodowskite, Heinrichite, Natrouranospinite, Natrozippeite, Schröckingerite, Sengierite, Torbernite, Trögerite, Tyuyamunite, Uraninite, Uranophane-α, Vandendriesscheite, Zeunerite",23
675,483,4322,"Musonoi Mine (Musonoi Extension Mine), Kolwezi, Kolwezi District, Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",Democratic Republic Of Congo (Zaïre),,4332,"Luiswishi Mine, Lubumbashi (Elizabethville), Katanga Copper Crescent, Katanga (Shaba), Democratic Republic Of Congo (Zaïre)",OGR40_81,OGR40_81,Kristen002307,Kristen002312,"Billietite, Cuprosklodowskite, Curite, Demesmaekerite, Derriksite, Fourmarierite, Francevillite, Guilleminite, Kasolite, Marthozite, Metatorbernite, Metatyuyamunite, Roubaultite, Rutherfordine, Schoepite, Sengierite, Sklodowskite, Soddyite, Torbernite, Tyuyamunite, Uranophane-α, Vandenbrandeite",22
,,1726,"Quistiav, Guern, Morbihan, Brittany, France",France,,,,,,,,"Autunite, Bassetite, Chernikovite, Coffinite, Curite, Dewindtite, Fourmarierite, Johannite, Kasolite, Meta-autunite, Metatorbernite, Parsonsite, Phosphuranylite, Renardite, Sabugalite, Sklodowskite, Torbernite, Uraninite, Uranocircite-II, Uranophane-α, Uranopilite",21
