Db ID,Name,Z (chemical formula units in the unit cell),Elements,U redox,localities (corrected any < 10),Db ID,Paragenetic mode,Metamorphic,Primary,Secondary,Abiotic,Biotic,v,IG,"IG,total","IG,n",H atoms,max size (cm),color,luster,hard,topology,structure type,a,b,c,α,β,γ,volume,crystal system,point group,space group,lattice,Max Age (Ma)
779,Abernathyite,4,5,6,17,779,72,FALSE,FALSE,TRUE,FALSE,TRUE,48,2.252,108.078,0.403,FALSE,0.05,yellow,2,2.0-3,sheet,Natroautunite,7.176,7.176,18.126,90,90,90,933.4,tetragonal,4/m2/m2/m,P4/ncc,P,252
5970,Adolfpateraite,4,5,6,1,5970,72,FALSE,FALSE,TRUE,FALSE,TRUE,56,3.807,213.212,0.656,TRUE,0.3,greenish-yellow,2,2,chain,Adranosite,8.0462,7.9256,11.3206,90,107.726,90,687.65,monoclinic,2/m,P21/c,P,0
5810,Agricolaite,4,4,6,2,5810,72,FALSE,FALSE,TRUE,FALSE,TRUE,38,3.406,129.421,0.649,FALSE,0.03,yellow,2,4,cluster,,10.238,9.193,12.211,90,95.108,90,1144.71,monoclinic,2/m,C2/c,C,270
805,Agrinierite,8,6,6,1,805,72,FALSE,FALSE,TRUE,FALSE,TRUE,72,4.587,330.235,0.743,FALSE,,orange,,,sheet,Compreignacite,14.094,14.127,24.106,90,90,90,4799.6,orthorhombic,mm2,F2mm,F,
825,Albrechtschraufite,2,7,6,1,825,72,FALSE,FALSE,TRUE,FALSE,TRUE,161,6.337,1020.28,0.864,TRUE,0.02,yellow-green,2,,framework,,13.569,13.419,11.622,115.82,107.61,92.84,1774.6,triclinic,-1,P-1,P,0
845,Althupite,2,6,6,1,845,72,FALSE,FALSE,TRUE,FALSE,TRUE,130,6.038,784.908,0.86,FALSE,0.01,yellow,,,sheet,,10.953,18.567,13.504,71.64,68.2,84.21,2434,triclinic,-1,P-1,P,975.3
6495,Alwilkinsite-(Y),4,5,6,2,6495,"72,76",FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.05,yellow-green,2,2-2.5,chain,,11.6194,12.425,19.4495,90,90,90,2807.9,orthorhombic,222,P212121,P,0
883,Andersonite,18,6,6,44,883,"72,89",FALSE,FALSE,TRUE,FALSE,TRUE,138,4.002,552.252,0.563,FALSE,1,yellow-green,,,cluster,,17.902,17.902,23.734,90,90,120,6587.258,rhombahedral,-32/m,R-3M,R,1900
5186,Arapovite,2,6,4,1,5186,72,FALSE,FALSE,TRUE,TRUE,FALSE,64,2.438,156,0.406,FALSE,0.03,dark-green,2,5.5-6,sheet,Steacyite,7.5505,7.5505,14.7104,90,90,90,838.6,tetragonal,4/m2/m2/m,P4/mcc,P,359
5573,Arsenovanmeersscheite,,4,6,1,5573,72,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,TRUE,0.01,yellow,,,,,17.36,16.96,7.02,90,90,90,2066.87,orthorhombic,mm2,Pmn21,P,313
